Order_ID,Customer_ID,Restaurant_Name,Cuisine_Type,Food_Cost,Delivery_Fee,Total_Order_Cost,Prep_Time_Min,Delivery_Time_Min,Total_Delivery_Time,Order_Rating,Order_Status
ORD1070,CUST238,Tokyo Treats,Japanese,770,60,830,30,30,60,4.6,Delivered
ORD1071,CUST475,Spice Symphony,Indian,620,50,670,31,39,70,3.6,Delivered
ORD1072,CUST161,Pizza Bella,Italian,560,50,610,24,26,50,4.7,Delivered
ORD1073,CUST337,Olive Grove,Mediterranean,440,40,480,17,23,40,4.6,Delivered
ORD1074,CUST501,Dragon Wok,Chinese,410,40,450,19,36,55,3.8,Delivered
ORD1075,CUST273,Burger Barn,American,310,30,340,11,19,30,4.7,Delivered
ORD1076,CUST146,Thai Pavilion,Thai,580,50,630,26,34,60,4.2,Delivered
ORD1077,CUST412,Taco Fiesta,Mexican,350,30,380,18,22,40,4.5,Delivered
ORD1078,CUST285,Tokyo Treats,Japanese,840,70,910,33,27,60,4.9,Delivered
ORD1079,CUST529,Spice Symphony,Indian,490,40,530,26,34,60,4.1,Delivered
ORD1080,CUST368,Pizza Bella,Italian,520,50,570,21,29,50,4.4,Delivered
ORD1081,CUST204,Olive Grove,Mediterranean,500,50,550,22,28,50,4.3,Delivered
ORD1082,CUST437,Dragon Wok,Chinese,370,40,410,16,34,50,4.0,Delivered
ORD1083,CUST180,Burger Barn,American,280,30,310,10,25,35,4.6,Delivered
ORD1084,CUST322,Thai Pavilion,Thai,520,40,560,24,31,55,4.1,Delivered
ORD1085,CUST495,Taco Fiesta,Mexican,380,40,420,20,30,50,3.9,Delivered
ORD1086,CUST263,Tokyo Treats,Japanese,690,60,750,28,22,50,4.8,Delivered
ORD1087,CUST130,Spice Symphony,Indian,650,60,710,34,46,80,3.0,Delivered
ORD1088,CUST407,Pizza Bella,Italian,440,40,480,19,26,45,4.5,Delivered
ORD1089,CUST278,Olive Grove,Mediterranean,530,50,580,23,27,50,4.4,Delivered
ORD1090,CUST510,Dragon Wok,Chinese,390,40,430,18,32,50,4.1,Delivered
ORD1091,CUST345,Burger Barn,American,370,30,400,14,21,35,4.5,Delivered
ORD1092,CUST191,Thai Pavilion,Thai,470,40,510,20,30,50,4.2,Delivered
ORD1093,CUST466,Taco Fiesta,Mexican,410,40,450,22,38,60,3.5,Delivered
ORD1094,CUST298,Tokyo Treats,Japanese,860,70,930,35,30,65,4.8,Delivered
ORD1095,CUST124,Spice Symphony,Indian,540,50,590,29,36,65,4.0,Delivered
ORD1096,CUST387,Pizza Bella,Italian,600,50,650,25,30,55,4.3,Delivered
ORD1097,CUST211,Olive Grove,Mediterranean,450,40,490,18,22,40,4.8,Delivered
ORD1098,CUST449,Dragon Wok,Chinese,280,30,310,12,23,35,4.4,Delivered
ORD1099,CUST333,Burger Barn,American,330,30,360,11,19,30,4.7,Delivered
ORD1100,CUST504,Thai Pavilion,Thai,560,50,610,25,35,60,4.0,Delivered
